username,date,tweet,existence,existence.confidence
cee_pain,14/06/2023 17:12,@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,Yes,0.8771
hayuurr,14/06/2023 17:00,effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link],Yes,0.8887
karenkho,14/06/2023 16:56,It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html,Yes,0.5247
ZakugaMignon,14/06/2023 16:46,A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link],Yes,1
profoundlyyyy,14/06/2023 16:44,SCIENCE: Scientists explore the evolution of climate change [link],Yes,0.7749
lilly_wachowski,14/06/2023 16:24,"Eaarth: global warming is here to stay, how will we deal with it? [link]",Yes,1
knatknowsit,14/06/2023 16:13,Allergies Worse Than Ever? Blame Global Warming [link],Yes,1
spine_gun,14/06/2023 15:57,@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot,No,0.8197
djhagg1s,14/06/2023 15:32,Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link],No,0.9183
urcybxrgf,14/06/2023 15:27,the scientific community was scamed by global green  gov warming scam.,No,0.9336
saturniines,14/06/2023 15:13,I truly  Fat ASS Gore should get the Scam Artist Award of the decade with his Global Warming and Energy Credits worth close to Billion.,,NA
RomeenSheth,14/06/2023 15:02,40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.,No,1
AradiaArts,14/06/2023 01:47,"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot",No,1
yakubwudil,14/06/2023 00:33,#justinbiebersucks and global warming is a farce,No,1
Mr_Derivatives,14/06/2023 00:28,"One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]",No,0.9174
Borbinite,13/06/2023 23:58,"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2",No,1
DivesTech,13/06/2023 23:21,Air ban led by flawed computer models. Global warming come to mind? [link],,NA
DivesTech,13/06/2023 22:11,Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!,No,0.8185
mbusigin,13/06/2023 21:34,@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin,No,0.8892
MeggSPaint,13/06/2023 20:54,"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]",No,0.8427
AP4Liberty,13/06/2023 20:51,"Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]",No,0.9368
DivesTech,13/06/2023 20:46,computer forensics experts: are there still any idiots out there that belive global warming is true? [link],No,0.9318
djlaudon,13/06/2023 20:35,Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link],No,1
bubukusayang17,13/06/2023 20:35,"Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom.",,NA
Jam_sponge,13/06/2023 19:40,Global warming you tube explanation you will enjoy #IPCC #teaparty [link],N/A,0.8485
Deepneuron,13/06/2023 19:07,Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link],Yes,0.7774
exceddius,13/06/2023 18:57,"Memo On The White House Correspondents Dinner: If You Want To Be Green, Report On Climate Change: I'd never be on... [link]",N/A,1
pigeonburger,13/06/2023 18:49,Views on Global Warming Vary in Three Countries|(Angus Reid Global Monitor) - People in three countries hold .. [link],N/A,1
Olayemisamuelo_,13/06/2023 18:45,"SCENARIOS-Challenges to California climate change law: Source: Reuters By Peter Henderson SAN FRANCISCO, April 26 ... [link]",N/A,0.9309
cherrytanukis,13/06/2023 18:38,"The Climate of Lindsay Graham's Support for Climate Change Legislation Has Changed: Today Lindsey Graham,... [link]",N/A,0.9319
NotMslinehan,13/06/2023 17:58,"Arizona's immigration law, climate change legislation stalling--Which issue should Congress focus on now? Poll: [link]",N/A,0.9132
icreatelife,13/06/2023 17:56,Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... [link],N/A,0.8845
amasad,13/06/2023 16:52,US Climate change bill stalls in Senate [link],N/A,0.8442
thewitcher007rp,13/06/2023 16:17,"Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]",Yes,0.6812
ConnorJBates_,13/06/2023 15:44,"cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. [link]",N/A,0.8253
dancow,13/06/2023 15:39,"Cafe Scientifique presents global warming talk, film|The April Cafe Scientifique presentation will be on the .. [link]",N/A,0.8264
devilsdoorbell_,13/06/2023 15:05,Check this video out -- The Business of Climate Change Conference 2009 [link],Yes,1
sircandyapple,13/06/2023 14:32,"Brilliant Tips For Valentine's Day : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip... [link]",N/A,1
hausofdecline,13/06/2023 15:39,"USA: Climate Change Policy Update - April 12, 2010  [link]",N/A,0.9431
Dynamo_Patrick,13/06/2023 14:25,-- Press Releases April 2010 - Climate change negotiators agree on intensified .. [link],N/A,0.8557
lesbiaudrey,13/06/2023 14:24,@SooperMexican Global warming. Clearly.,Yes,0.6061
leslievdb,13/06/2023 14:04,PostPartisan - Harry Reid's hapless play on immigration and climate change: [link],N/A,1
MoonMarket_,13/06/2023 14:03,Foes of California's global warming law pour money into a campaign to delay it [link],N/A,0.5198
crypticsea,13/06/2023 14:00,"Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]",N/A,0.8899
Thomstevens11,13/06/2023 13:55,"Klein: ""A '50-50' chance that the Senate passes a climate change bill this year?"" [link]",N/A,1
TicTocTick,13/06/2023 13:39,@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.,Yes,0.5978
daytradertelugu,13/06/2023 13:34,RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link],N/A,0.3467
AbleLikes,13/06/2023 13:21,A religious spin on climate change.[link],N/A,0.9514
Scobleizer,13/06/2023 13:12,Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link],Yes,0.7971
maosbot,13/06/2023 13:00,"Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... [link]",N/A,0.7308
apihtawikosisan,13/06/2023 12:27,Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... [link],N/A,0.6439
tommgran,13/06/2023 11:19,"In climate data, that ""suggests"" global warming, and then the assumption that it is our doing. [link]",N/A,0.5556
RosemaryAubry,13/06/2023 09:57,"Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... [link]",N/A,0.8266
been_supe,13/06/2023 06:51,RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns [link],N/A,0.8191
mattlavine,13/06/2023 03:35,Opponents ramp up effort to delay Calif. global warming law [link],N/A,0.6852
to_sheds,13/06/2023 02:59,How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations,N/A,0.8017
AJZan1,13/06/2023 02:43,Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks [link],N/A,0.911
caesarinohs,13/06/2023 01:19,RT @GClugo: RT @guardianscience Climate scientist sues newspaper for 'poisoning' global warming debate [link],N/A,0.9019
SadlyItsBradley,13/06/2023 00:24,RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change [link],N/A,0.7452
Kimchi_AI,13/06/2023 00:07,Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link],Yes,0.7774
otherhappyplace,12/06/2023 23:43,Great article  [link],N/A,1
Teensytinysalty,12/06/2023 23:40,Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... [link],N/A,0.7723
gfodor,12/06/2023 23:38,"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]",No,1
bonerkuwanger,12/06/2023 22:21,"Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... [link]",N/A,1
anderssandberg,12/06/2023 22:00,"Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]",Yes,0.567
imjasondiamond,12/06/2023 21:29,A religious take on climate change [link],N/A,1
ScottyGoesAgain,12/06/2023 21:03,Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link],Yes,0.5971
brian_trollz,12/06/2023 20:44,LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link],Yes,0.8221
miriamkp,12/06/2023 20:38,Plan B: California Braces for Climate Change. [link],Yes,0.5121
chrmanning,12/06/2023 20:26,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",Yes,0.7967
caesarinohs,12/06/2023 19:23,"@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming",Yes,0.6122
benfowlkesMMA,12/06/2023 19:14,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]",Yes,0.7925
uzionmain,12/06/2023 19:08,Climate change & sustainability will be a key driver of future economic development. Listen at [link],Yes,0.7874
JanMBrauner,12/06/2023 18:53,Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech,Yes,0.5778
JanMBrauner,12/06/2023 18:30,US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link],Yes,1
JanMBrauner,12/06/2023 17:59,Even the generals know climate change is going to screw us. [link],Yes,1
kzzrttt,12/06/2023 17:53,"Government Report Says Global Warming May Cause Cancer, Mental Illness [link]",Yes,0.6224
politeabox,12/06/2023 16:54,"RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]",Yes,0.8157
SaraEisen,12/06/2023 16:43,RT @sciencedaily: Plants remain an effective way of tackling global warming [link],Yes,1
shillman1,12/06/2023 16:29,"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""",Yes,1
lthomasnews,12/06/2023 14:14,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes,1
SzMarsupial,12/06/2023 14:09,EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link],Yes,1
coopercooperco,12/06/2023 13:54,"Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]",Yes,0.7853
OceanManX2,12/06/2023 13:37,RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link],Yes,0.8275
NathanLands,12/06/2023 12:54,@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!,Yes,1
LinusEkenstam,12/06/2023 12:33,RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link],N/A,0.5844
BigBullCap,12/06/2023 12:28,"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]",Yes,0.7949
Lifychan,12/06/2023 12:20,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes,0.6021
thewolfofdefi,12/06/2023 11:43,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",N/A,0.6135
Oluwatobicodes,12/06/2023 11:35,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes,0.5763
thatroblennon,12/06/2023 11:22,"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]",Yes,1
HakataQueen,12/06/2023 10:43,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes,0.8243
TechnicalExec,12/06/2023 10:24,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes,0.6065
sharrond62,12/06/2023 09:07,CLIMATE CHANGE: Forests Not for Absorbing Carbon [link],Yes,1
botherer,12/06/2023 08:37,"RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Yes,0.5857
yoavgo,12/06/2023 07:33,"What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Yes,0.6105
canslp_,12/06/2023 07:30,"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]",Yes,1
alexnail,12/06/2023 06:46,Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Yes,1
mcdermottkc_,12/06/2023 04:04,Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Yes,0.8166
eyebrowpillar,12/06/2023 04:03,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes,0.6329
yonashav,12/06/2023 03:27,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Yes,1
davidrobots,12/06/2023 01:07,Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Yes,1
moyix,12/06/2023 00:58,Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Yes,1
Jabaluck,12/06/2023 00:38,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes,1
ew1ewlilileww,11/06/2023 23:45,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Yes,0.6448
_isabelarts,11/06/2023 22:50,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Yes,0.8133
JelisaApps,11/06/2023 22:31,South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link],Yes,0.5862
VincentCrypt46,11/06/2023 22:13,"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]",Yes,1
ShardiB2,11/06/2023 22:12,James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link],Yes,0.5699
ANDREWTI,11/06/2023 22:10,I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link],Yes,0.819
ANDREWTI,11/06/2023 22:10,Report: Save the Whales and They'll Save Us from Global Warming [link],Yes,0.823
Itmechr3,11/06/2023 20:02,RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link],N/A,0.621
ArtOfAsty,11/06/2023 19:42,Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link],Yes,1
Mckerel_,11/06/2023 18:01,"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]",Yes,1
ProfNoahGian,11/06/2023 17:58,#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link],Yes,0.7896
NotlouisCk,11/06/2023 17:43,RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link],Yes,0.617
thisblackmagic,11/06/2023 17:15,RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link],Yes,0.7868
celestelabedz,11/06/2023 16:41,Global warming science good news - Soils release less carbon than though as world warms: [link],Yes,0.8236
PunishDem_1776,11/06/2023 16:30,"So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !",Yes,0.7863
jasonfurman,11/06/2023 15:27,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Yes,1
ReKflYer00,11/06/2023 14:38,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Yes,1
keyokku,11/06/2023 14:29,West Mediterranean countries unite on climate change (AFP) [link],N/A,0.5986
elliotrades,11/06/2023 14:10,Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link],Yes,0.7835
sparkle6193920,11/06/2023 12:08,"3,000 Businesses Create New Ad for Climate Change Action [link]",N/A,0.5995
mmitchell_ai,11/06/2023 11:41,"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""",Yes,0.8121
MoonMarket_,11/06/2023 09:49,Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal,N/A,0.8009
ColdBloodShill,11/06/2023 07:27,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes,1
RealCoolGuy45,11/06/2023 06:29,RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link],Yes,1
EMostaque,11/06/2023 06:17,New blog post: Mandating energy benchmarking: The next step for cities in addressing #climate change? [link],N/A,0.7941
NerdAround,11/06/2023 05:32,RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!,Yes,0.774
SarahBurssty,11/06/2023 02:55,How much trouble does global warming mean for agriculture? Just ask the wine industry. [link],Yes,1
NecroKuma3,11/06/2023 02:32,Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link],Yes,1
thepIanetmarz,11/06/2023 01:39,"Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]",Yes,1
thepIanetmarz,11/06/2023 01:38,How Climate Change Will Change The Electoral Map: The National Oceanic and Atmospheric Administration isn't known ... [link],N/A,0.6395
HickHouse,11/06/2023 00:14,"M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...",Yes,0.8018
rznant,10/06/2023 22:26,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes,1
JoGribbin,10/06/2023 21:56,"Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]",Yes,1
juliussharpe,10/06/2023 21:45,Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link],Yes,1
OKBJGM,10/06/2023 21:42,"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... [link]",Yes,1
IniquitousFish,10/06/2023 21:19,RT @uncajoe: uncajoe: PLZ RT & #Digg Climate Of Hate: The Politics Of Climate Change Denial: As H... [link],N/A,0.6348
DavidSKrueger,10/06/2023 20:58,"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Yes,1
Basic_Chunnel,10/06/2023 19:54,"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Yes,1
DonMiami3,10/06/2023 19:39,Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link],Yes,0.8017
Artists_Ali,10/06/2023 19:18,Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Yes,1
SloaneFragment,10/06/2023 18:30,Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Yes,1
HatokTalk,10/06/2023 18:29,"Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]",Yes,0.8149
NoTheOtherBryan,10/06/2023 18:06,RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link],Yes,0.6484
doeantlers,10/06/2023 17:58,RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link],Yes,1
anmarasovic,10/06/2023 17:33,scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link],Yes,1
ravenkult,10/06/2023 16:15,RT @thompsonPLC @boliviaun Pres Evo Morales in @LATimes climate change:lessons from indigenous peoples [link],N/A,0.6088
RadishHarmers,10/06/2023 16:13,RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes,1
TylerGlaiel,10/06/2023 15:33,MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link],Yes,0.7884
RichyCraven,10/06/2023 14:46,a review of yesterday's discussions: [link],N/A,0.7913
DeanSamed,10/06/2023 14:33,Global Warming Kills Forests In Colorado [link],Yes,1
uiuxadrian,10/06/2023 12:46,Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link],Yes,0.599
paulapoundstone,10/06/2023 12:41,Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link],Yes,0.8814
Nicholas_Merten,10/06/2023 12:30,GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A,0.5868
heraclitus765,10/06/2023 10:30,"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Yes,1
RedOneThousand,10/06/2023 09:44,"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Yes,0.776
0xdgb,10/06/2023 08:42,Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],Yes,1
rcalo,10/06/2023 08:03,Official NASA Report: Sun Causes Climate Change:  [link],Yes,1
rcalo,10/06/2023 07:37,RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Yes,0.6584
fluffycloud98,10/06/2023 07:29,RT @sciam: Impacts of Climate Change Extend to Human Health [link],Yes,1
brokebackstan,10/06/2023 07:05,Impacts of Climate Change Extend to Human Health [link],Yes,1
syndrette,10/06/2023 06:11,The good news about the very bad news (about climate change) by Rebecca Solnit [link],N/A,0.611
MeanHash,10/06/2023 05:22,Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link],Yes,0.8256
pkghosh99,10/06/2023 05:08,GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A,0.5693
mutablejoe,10/06/2023 05:03,"Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]",Yes,0.634
johnsemley3000,10/06/2023 04:37,Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link],Yes,0.6458
SzMarsupial,10/06/2023 04:27,"Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]",Yes,1
samfbiddle,10/06/2023 04:14,African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link],Yes,0.5944
AndrewYNg,10/06/2023 03:29,Economists Say Climate Change Is Bad For Economy [link],Yes,0.7866
owillis,10/06/2023 02:50,Economists Say Climate Change Is Bad For Economy [link],Yes,0.646
BrianMFloyd,10/06/2023 02:49,Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],Yes,0.817
ProfNoahGian,10/06/2023 01:35,Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link],Yes,1
ProfNoahGian,10/06/2023 01:16,RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Yes,0.5976
ProfNoahGian,10/06/2023 01:11,"Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]",Yes,0.6359
ProfNoahGian,10/06/2023 00:50,RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Yes,1
Miles_Brundage,10/06/2023 00:26,"ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect",Yes,1
smolrobots,09/06/2023 22:51,Earth Day: Ben Verwaayen on what we're doing to curb climate change [link],Yes,0.8136
bitcloud,09/06/2023 22:51,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes,1
Orteil42,09/06/2023 21:35,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes,0.8078
TheFlowHorse,09/06/2023 21:17,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes,0.8221
HazelMonforton,09/06/2023 20:52,HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes,1
DrWallkick,09/06/2023 19:53,GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A,0.7778
tobyordoxford,09/06/2023 19:39,10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],Yes,0.6015
mungowitz,09/06/2023 19:03,Climate change could raise cost of U.S. allergies (Reuters) [link],Yes,0.5851
MinovskyArticle,09/06/2023 18:55,Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],Yes,0.596
blknoiz06,09/06/2023 18:34,Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],N/A,0.653
kyruolic,09/06/2023 18:09,well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Yes,1
